* NAME                TYPENAME                             S              BETX              BETY              ALFX              ALFY               MUX               MUY               K0L               K1L               K2L          DeltaMUX          DeltaMUY
$ %s                  %s                                 %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le
  QC1LPE759           MULT                          .7600002         5.8752678       192.5012983        -7.6048933      -253.0051318          .2291818          .2493719          .0000000 -4.43836719908E-4 3.478928409783E-4          .2291818          .2493719
  QC1LPE761           MULT                          .7600002         5.8752678       192.5012989        -7.6075098      -252.9194048          .2291818          .2493719          .0000000 -7.06344337744E-4 -3.65320157414E-4          .2291818          .2493719
  QC1LE765            MULT                          .7600002         5.8752678       192.5012994        -7.6116653      -252.7832563          .2291818          .2493719 -3.04239963915E-5 1.73233249724E-10 1.08488284965E-10          .2291818          .2493719
  QC1LPE769           MULT                          .7700002         6.0285031       197.5901327        -7.7118311      -256.0978958          .2294493          .2493800          .0000000 -7.06344337744E-4 -3.65320157414E-4          .2294493          .2493800
  QC1LPE771           MULT                          .7700002         6.0285031       197.5901332        -7.7160947      -255.9581556          .2294493          .2493800          .0000000 -9.53604737943E-4 -3.34837275127E-4          .2294493          .2493800
  QC1LE775            MULT                          .7700002         6.0285031       197.5901337        -7.7218473      -255.7696103          .2294493          .2493800 -3.78527076550E-5 1.84242299029E-10 1.26153617812E-10          .2294493          .2493800
  QC1LPE779           MULT                          .7800002         6.1839444       202.7386099        -7.8222627      -259.0754705          .2297099          .2493880          .0000000 -9.53604737943E-4 -3.34837275127E-4          .2297099          .2493880
  QC1LPE781           MULT                          .7800002         6.1839445       202.7386105        -7.8281635      -258.8820186          .2297099          .2493880          .0000000         -.0011210 3.128345663387E-4          .2297099          .2493880
  QC1LE785            MULT                          .7800002         6.1839445       202.7386111        -7.8350996      -258.6546219          .2297099          .2493880 -4.36092766722E-5 1.96303165578E-10 1.33448076837E-10          .2297099          .2493880
  QC1LPE789           MULT                          .7900003         6.3416540       207.9446796        -7.9358339      -261.9494825          .2299641          .2493957          .0000000         -.0011210 3.128345663387E-4          .2299641          .2493957
  QC1LPE791           MULT                          .7900003         6.3416540       207.9446802        -7.9429467      -261.7162534          .2299641          .2493957          .0000000         -.0011989 6.227145502479E-4          .2299641          .2493957
  QC1LE795            MULT                          .7900003         6.3416541       207.9446809        -7.9505552      -261.4667736          .2299641          .2493957 -4.72838705959E-5 2.09424648056E-10 1.45108166663E-10          .2299641          .2493957
  QC1LPE799           MULT                          .8000003         6.5016764       213.2068698        -8.0516527      -264.7492564          .2302119          .2494033          .0000000         -.0011989 6.227145502479E-4          .2302119          .2494033
  QC1LPE801           MULT                          .8000003         6.5016764       213.2068706        -8.0594529      -264.4934722          .2302119          .2494033          .0000000         -.0012133 7.228397101091E-4          .2302119          .2494033
  QC1LE805            MULT                          .8000003         6.5016764       213.2068713        -8.0673484      -264.2345618          .2302119          .2494033 -4.91714953616E-5 2.23629453160E-10 1.72348369971E-10          .2302119          .2494033
  QC1LPE809           MULT                          .8100003         6.6640385       218.5242871        -8.1688303      -267.5040701          .2304537          .2494107          .0000000         -.0012133 7.228397101091E-4          .2304537          .2494107
  QC1LPE811           MULT                          .8100003         6.6640385       218.5242879        -8.1769226      -267.2387134          .2304537          .2494107          .0000000         -.0011925 2.199303862362E-4          .2304537          .2494107
  QC1LE815            MULT                          .8100003         6.6640385       218.5242887        -8.1848770      -266.9778806          .2304537          .2494107 -4.97877514159E-5 2.39106828377E-10 2.24024799482E-10          .2304537          .2494107
  QC1LPE819           MULT                          .8200003         6.8287551       223.8964412        -8.2867481      -270.2343288          .2306896          .2494179          .0000000         -.0011925 2.199303862362E-4          .2306896          .2494179
  QC1LPE821           MULT                          .8200003         6.8287551       223.8964421        -8.2948988      -269.9670950          .2306896          .2494179          .0000000         -.0011550 8.819115284831E-5          .2306896          .2494179
  QC1LE825            MULT                          .8200003         6.8287551       223.8964428        -8.3027920      -269.7083025          .2306896          .2494179 -4.95829444386E-5 2.55971611971E-10 2.67781500588E-10          .2306896          .2494179
  QC1LPE829           MULT                          .8300003         6.9958339       229.3230763        -8.4050482      -272.9518767          .2309199          .2494249          .0000000         -.0011550 8.819115284831E-5          .2309199          .2494249
  QC1LPE831           MULT                          .8300003         6.9958339       229.3230771        -8.4131342      -272.6868213          .2309199          .2494249          .0000000         -.0011105 1.342267567620E-4          .2309199          .2494249
  QC1LE835            MULT                          .8300003         6.9958339       229.3230776        -8.4209070      -272.4320316          .2309199          .2494249 -4.88743372570E-5 2.74219452203E-10 3.13309725203E-10          .2309199          .2494249
  QC1LPE839           MULT                          .8400003         7.1652789       234.8040613        -8.5235393      -275.6630457          .2311447          .2494317          .0000000         -.0011105 1.342267567620E-4          .2311447          .2494317
  QC1LPE841           MULT                          .8400003         7.1652789       234.8040619        -8.5315002      -275.4021725          .2311447          .2494317          .0000000         -.0010641 2.119490735389E-4          .2311447          .2494317
  QC1LE845            MULT                          .8400003         7.1652789       234.8040621        -8.5391259      -275.1522830          .2311447          .2494317 -4.78673138278E-5 2.93886601410E-10 3.70636573974E-10          .2311447          .2494317
  QC1LPE849           MULT                          .8500003         7.3370920       240.3393295        -8.6421234      -278.3711088          .2313642          .2494384          .0000000         -.0010641 2.119490735389E-4          .2313642          .2494384
