@ Q1         %le              45.5460667
@ Q2         %le              43.6041000
@ OpticsFile %s      optics$file
@ SEQUENCE   %s        SuperKEKB
* NAME                TYPENAME                             S              BETX              BETY              ALFX              ALFY               MUX               MUY          DeltaMUX          DeltaMUY
$ %s                  %s                                 %le               %le               %le               %le               %le               %le               %le               %le               %le
  MQDRNE1             MONI                       706.1956054         8.5241435        30.1975747         -.6155022         1.9357433        11.0333751        10.9457448          .1127556          .0868348
  MQFRNE1             MONI                       715.6214054        28.8232891         9.2516570         1.9137357         -.6740535        11.1263809        11.0505335          .0930057          .1047887
  MQDRNE2             MONI                       725.0472054         8.5241316        30.1969921         -.6155009         1.9357071        11.2391365        11.1373697          .1127557          .0868361
  MQFRNE2             MONI                       734.4730054        28.8232624         9.2516020         1.9137328         -.6740679        11.3321424        11.2421599          .0930059          .1047902
  MQDRNE3             MONI                       743.8988054         8.5241399        30.1974018         -.6155026         1.9357196        11.4448981        11.3289957          .1127557          .0868358
  MQFRNE3             MONI                       753.3246054        28.8233021         9.2517568         1.9137359         -.6740695        11.5379038        11.4337841          .0930057          .1047884
  MQDRNE4             MONI                       762.7504054         8.5241377        30.1973757         -.6155010         1.9357372        11.6506594        11.5206191          .1127556          .0868350
  MQFRNE4             MONI                       772.1762054        28.8232613         9.2515819         1.9137335         -.6740527        11.7436652        11.6254087          .0930058          .1047896
  MQDRNE5             MONI                       781.6020054         8.5241331        30.1970047         -.6155020         1.9356985        11.8564210        11.7122452          .1127557          .0868365
  MQFRNE5             MONI                       791.0278054        28.8232909         9.2516869         1.9137344         -.6740760        11.9494268        11.8170348          .0930058          .1047897
  MQDRNE6             MONI                       800.4536054         8.5241431        30.1975820         -.6155019         1.9357384        12.0621823        11.9038699          .1127556          .0868350
  MQR2NE2             MONI                       809.8794054        29.3386803         9.0916567         1.5643811         -.5541000        12.1551487        12.0087919          .0929663          .1049220
  MQR3NE2             MONI                       819.3052054        12.7993860        26.0497451        -1.3839263         2.5047504        12.2451161        12.1019656          .0899675          .0931737
  MQR4NE2             MONI                       828.7310054        47.7257231         4.4654677         4.5173371         -.7464354        12.3010463        12.3079423          .0559302          .2059767
